case_id,ack_no,victim_name,fraud_type,amount_stolen,victim_city,victim_lat,victim_lon,timestamp,status
NCRP-2024-1001,1930-20240001,Dr. Arvind Joshi,APK_SCAM,149224.86,Pune - Bibwewadi (VIT),18.465031,73.866403,2026-08-08T09:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1002,1930-20240002,Meera Iyer,SEBI_IMPERSONATION,62092.08,Mumbai - Andheri West,19.147723,72.824243,2026-08-10T07:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1003,1930-20240003,Ananya Banerjee,PART_TIME_JOB_FRAUD,30199.02,Ahmedabad - SG Highway,23.023903,72.52544,2026-08-12T20:54:26.845889,UNDER_PATROL
NCRP-2024-1004,1930-20240004,Deepa Nair,PHISHING_OTP,71035.06,Pune - Bibwewadi (VIT),18.475203,73.875887,2026-08-13T09:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1005,1930-20240005,Deepa Nair,SEBI_IMPERSONATION,118864.03,Bengaluru - Koramangala,12.927965,77.62022,2026-08-10T22:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1006,1930-20240006,Geeta Patel,PART_TIME_JOB_FRAUD,238589.42,Bengaluru - Koramangala,12.930521,77.62842,2026-08-09T09:54:26.845889,UNDER_PATROL
NCRP-2024-1007,1930-20240007,Sanjay Singhal,DIGITAL_ARREST,372006.63,Hyderabad - Cyberabad,17.433582,78.398799,2026-08-09T22:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1008,1930-20240008,Geeta Patel,SEBI_IMPERSONATION,51745.29,Bengaluru - Koramangala,12.945002,77.635956,2026-08-11T00:54:26.845889,UNDER_PATROL
NCRP-2024-1009,1930-20240009,Deepa Nair,PHISHING_OTP,110505.7,Ahmedabad - SG Highway,23.046748,72.523855,2026-08-11T16:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1010,1930-20240010,Deepa Nair,DIGITAL_ARREST,1105372.21,Mumbai - Andheri West,19.142601,72.816906,2026-08-16T12:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1011,1930-20240011,Vikas Deshmukh,DIGITAL_ARREST,892370.36,Hyderabad - Cyberabad,17.463108,78.404694,2026-08-12T02:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1012,1930-20240012,Ramesh Kulkarni,PART_TIME_JOB_FRAUD,152449.33,Bengaluru - Koramangala,12.944834,77.609784,2026-08-11T11:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1013,1930-20240013,Rajesh Narang,PHISHING_OTP,126414.08,Pune - Bibwewadi (VIT),18.463218,73.87125,2026-08-15T16:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1014,1930-20240014,Kishore Bhatt,INVESTMENT_SCAM,770372.96,Mumbai - Andheri West,19.122585,72.816119,2026-08-17T21:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1015,1930-20240015,Meera Iyer,APK_SCAM,145506.36,Ahmedabad - SG Highway,23.027796,72.512574,2026-08-12T12:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1016,1930-20240016,Pooja Hegde,DIGITAL_ARREST,903059.08,Bengaluru - Koramangala,12.932991,77.637099,2026-08-12T12:54:26.845889,UNDER_PATROL
NCRP-2024-1017,1930-20240017,Dr. Arvind Joshi,PHISHING_OTP,119546.75,Hyderabad - Cyberabad,17.448755,78.402847,2026-08-16T17:54:26.845889,UNDER_PATROL
NCRP-2024-1018,1930-20240018,Pooja Hegde,DIGITAL_ARREST,629875.86,Bengaluru - Koramangala,12.944883,77.637083,2026-08-18T06:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1019,1930-20240019,Deepa Nair,SEBI_IMPERSONATION,233050.03,Mumbai - Andheri West,19.146553,72.83405,2026-08-17T22:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1020,1930-20240020,Vikas Deshmukh,SEBI_IMPERSONATION,202851.34,Hyderabad - Cyberabad,17.43693,78.400536,2026-08-15T17:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1021,1930-20240021,Sanjay Singhal,APK_SCAM,199864.28,Ahmedabad - SG Highway,23.027386,72.509093,2026-08-18T08:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1022,1930-20240022,Ananya Banerjee,DIGITAL_ARREST,347068.93,Pune - Bibwewadi (VIT),18.457191,73.854643,2026-08-13T00:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1023,1930-20240023,Dr. Arvind Joshi,SEBI_IMPERSONATION,195754.08,Delhi - Rohini Sec 7,28.69763,77.109289,2026-08-15T10:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1024,1930-20240024,Sanjay Singhal,PHISHING_OTP,145178.48,Hyderabad - Cyberabad,17.436695,78.382361,2026-08-14T15:54:26.845889,UNDER_PATROL
NCRP-2024-1025,1930-20240025,Ananya Banerjee,DIGITAL_ARREST,968240.78,Pune - Bibwewadi (VIT),18.460037,73.862586,2026-08-19T17:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1026,1930-20240026,Geeta Patel,PART_TIME_JOB_FRAUD,75076.96,Ahmedabad - SG Highway,23.043256,72.517522,2026-08-15T08:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1027,1930-20240027,Kishore Bhatt,INVESTMENT_SCAM,499206.44,Pune - Bibwewadi (VIT),18.453044,73.877381,2026-08-15T00:54:26.845889,UNDER_PATROL
NCRP-2024-1028,1930-20240028,Kishore Bhatt,PART_TIME_JOB_FRAUD,139315.43,Pune - Bibwewadi (VIT),18.45073,73.855564,2026-08-20T20:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1029,1930-20240029,Dr. Arvind Joshi,APK_SCAM,219053.31,Ahmedabad - SG Highway,23.032205,72.528562,2026-08-19T16:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1030,1930-20240030,Ananya Banerjee,DIGITAL_ARREST,371537.02,Bengaluru - Koramangala,12.943698,77.615205,2026-08-18T20:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1031,1930-20240031,Ananya Banerjee,PHISHING_OTP,121639.58,Delhi - Rohini Sec 7,28.692201,77.104699,2026-08-17T02:54:26.845889,UNDER_PATROL
NCRP-2024-1032,1930-20240032,Deepa Nair,PHISHING_OTP,32820.1,Ahmedabad - SG Highway,23.03687,72.507543,2026-08-19T14:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1033,1930-20240033,Ramesh Kulkarni,DIGITAL_ARREST,282658.42,Hyderabad - Cyberabad,17.453634,78.387025,2026-08-18T16:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1034,1930-20240034,Sunita Sharma,APK_SCAM,86777.06,Ahmedabad - SG Highway,23.032262,72.523446,2026-08-18T01:54:26.845889,UNDER_PATROL
NCRP-2024-1035,1930-20240035,Ananya Banerjee,PART_TIME_JOB_FRAUD,219717.02,Mumbai - Andheri West,19.146684,72.820436,2026-08-21T14:54:26.845889,UNDER_PATROL
NCRP-2024-1036,1930-20240036,Sunita Sharma,DIGITAL_ARREST,840564.03,Bengaluru - Koramangala,12.936955,77.618268,2026-08-18T23:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1037,1930-20240037,Sanjay Singhal,SEBI_IMPERSONATION,62888.64,Ahmedabad - SG Highway,23.03811,72.519159,2026-08-21T02:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1038,1930-20240038,Sunita Sharma,SEBI_IMPERSONATION,33238.67,Hyderabad - Cyberabad,17.457616,78.390581,2026-08-16T13:54:26.845889,UNDER_PATROL
NCRP-2024-1039,1930-20240039,Rajesh Narang,APK_SCAM,30211.54,Ahmedabad - SG Highway,23.023222,72.522947,2026-08-18T12:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1040,1930-20240040,Ananya Banerjee,PART_TIME_JOB_FRAUD,187130.68,Mumbai - Andheri West,19.138097,72.825502,2026-08-18T17:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1041,1930-20240041,Dr. Arvind Joshi,DIGITAL_ARREST,910499.29,Pune - Bibwewadi (VIT),18.471882,73.867343,2026-08-22T09:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1042,1930-20240042,Ramesh Kulkarni,DIGITAL_ARREST,944534.52,Ahmedabad - SG Highway,23.048541,72.527802,2026-08-19T05:54:26.845889,UNDER_PATROL
NCRP-2024-1043,1930-20240043,Meera Iyer,DIGITAL_ARREST,1095953.16,Mumbai - Andheri West,19.1443,72.818859,2026-08-19T11:54:26.845889,RESOLVED_FUNDS_FROZEN
